emergency_,created_at,tweet_id,tweet_text,screen_name
emergency,2022-05-14 17:23:49 PDT,1525633009533059073,SMPD suspicious death deemed a homicide. Investigation commenced. Anonymous tips to (650)522-7676.  https://t.co/rFQs6Kt3Xy  https://t.co/NAMFe9TrZt,SanMateoPD
emergency,2022-05-14 15:53:02 PDT,1525610166246207488,@SamTrans UPDATE (3:30pm):  S/B El Camino from Hillsdale to 37th Ave. has fully reopened.,SanMateoPD
emergency,2022-05-14 15:52:05 PDT,1525609926025916416,"@kletter @SamTrans Time of death will be determined by the coroner, but was found before 7am. Everything you mentioned will be part of our investigation, as they are par for the course.",SanMateoPD
emergency,2022-05-14 09:38:15 PDT,1525515846897938434,We are currently investigating a suspicious death at a bus stop on S. El Camino at Hillsdale. @SamTrans will be bypassing this stop and the right lane is closed. S/B underpass still accessible.  https://t.co/tWjMvHSfaY,SanMateoPD
emergency,2022-05-11 11:04:00 PDT,1524450265499193345,"San Mateo PD is happy to announce applications for our 2nd Community Police Academy are now being accepted! To apply, visit  https://t.co/KZv14rc2RH  https://t.co/Nzgfcldkge",SanMateoPD
emergency,2022-05-08 09:36:15 PDT,1523341017780420608,"To the MOTHER'S of all things, we wish you the most special day doing whatever it is that brings you happiness. Choosing to care for something is a major dedication of one's self, so we thank you for all you gave and continue to give to that which you mother. Happy Mother's Day!  https://t.co/44jxHSVszy",SanMateoPD
emergency,2022-04-28 18:41:19 PDT,1519854307360706560,Couple Arrested on Drug and Property Charges after Foot Pursuit  https://t.co/tnvWyJH949,SanMateoPD
emergency,2022-04-27 10:55:48 PDT,1519374770491453440,"For #AdministrativeProfessionalsDay, we celebrate and recognize our amazing Records Unit, our Support Services staff, our Community Service Officers, our Administrative Assistants, our PAL staff, and all of our non-sworn employees that play many valuable roles within SMPD.  https://t.co/E5E1c0texb",SanMateoPD
emergency,2022-04-19 12:26:14 PDT,1516498427214934016,SMPD hosted a press conference this morning regarding yesterday’s arrests of two homicide suspects from a shooting death that occurred on Eleanor Dr. in October 2020. To watch:  https://t.co/DzvPIUXdCt  https://t.co/h8iWxRodGY,SanMateoPD
emergency,2022-04-18 18:27:39 PDT,1516226990231097347,Our apologies for the incorrect link. Use the correct one here:   https://t.co/k2Idqr1Mwf,SanMateoPD
emergency,2022-04-18 18:27:11 PDT,1516226875466547205,Our apologies for the incorrect link. Use the correct one here:   https://t.co/k2Idqr1Mwf,SanMateoPD
emergency,2022-04-18 18:26:48 PDT,1516226776480944132,Our apologies for the incorrect link. Use the correct one here:   https://t.co/k2Idqr1Mwf,SanMateoPD
emergency,2022-04-18 16:35:04 PDT,1516198658525437952,"@oakzoo In case you weren't told, we've had a pair of mountain lions roaming the area of Kingridge Dr. in our city, possibly looking for this little one. They have been seen repeatedly in this area during this time frame.",SanMateoPD
emergency,2022-04-18 14:45:01 PDT,1516170965457137664,"Thank you @CMPD, @FBIHonolulu, @SecretService for your assistance.",SanMateoPD
emergency,2022-04-18 14:39:28 PDT,1516169565566222337,"4/18/22:  San Mateo Police Make Arrests in Ueta Muasika Homicide from 2020. Arrested: John ""Talia"" Paasi &amp; Isileli Mahe. See press release here:   https://t.co/Xq9gfARUG6",SanMateoPD
emergency,2022-04-18 14:39:05 PDT,1516169470259052544,"4/18/22:  San Mateo Police Make Arrests in Ueta Muasika Homicide from 2020. Arrested: John ""Talia"" Paasi &amp; Isileli Mahe. See press release here:   https://t.co/Xq9gfARUG6",SanMateoPD
emergency,2022-04-18 14:38:24 PDT,1516169297134977024,"4/18/22:  San Mateo Police Make Arrests in Ueta Muasika Homicide from 2020. Arrested: John ""Talia"" Paasi &amp; Isileli Mahe. See press release here:   https://t.co/Xq9gfARUG6",SanMateoPD
emergency,2022-04-18 14:18:59 PDT,1516164411970441217,@henrykleeKTVU @CuttyBanks408 @Cutthroat454 @SanMateoCoDA They are NOT related.,SanMateoPD
emergency,2022-04-18 13:41:07 PDT,1516154881853165568,"San Mateo Police Make Arrests in Ueta Muasika Homicide from 2020. Arrested: John ""Talia"" Paasi &amp; Isileli Mahe. See press release here:   https://t.co/Xq9gfARUG6  Press Conference @ SMPD Tomorrow, 10am.  https://t.co/uh3TvSoCez",SanMateoPD
emergency,2022-04-17 09:05:12 PDT,1515723056827666434,"Wishing all our friends, family, &amp; the #SanMateo community a #HappyEaster! May it be filled with peace &amp; love, and may we all reflect on what Easter means to each of us. Whether celebrating alone or with loved ones, remember, some bunnies here at SMPD are here for you! 🐰🥚🐥💐  https://t.co/aizb6Zzg1S",SanMateoPD
emergency,2022-04-15 11:54:36 PDT,1515040912727891971,Ride-share passenger arrested after indecent exposure and concealing a knife. For more visit  https://t.co/HGTsKobbCS  https://t.co/59sC2mZFJW,SanMateoPD
emergency,2022-04-14 08:17:35 PDT,1514623911484264451,"@inoccencekim We have heard that it is possible, and is being looked into.",SanMateoPD
emergency,2022-04-11 12:45:07 PDT,1513604074448457729,"A pair of mountain lions are making repeat appearances on Kingridge Dr. this week (at least 3 that we know of). Watch out for small pets and children, avoid feeding deer, and never approach a mountain lion. To learn more about these furry creatures visit  https://t.co/aEmSGwjKbI.  https://t.co/Vy63cPExRH",SanMateoPD
emergency,2022-04-10 07:27:44 PDT,1513161812828598272,"Happy #NationalPublicSafetyTelecommunicatorsWeek to our phenomenal team of #PublicSafetyDispatchers! They are the lifeline, aka “superheroes” between our citizens and our officers. They are the calm voice on the other end of the line 24/7. Not just today, but EVERYDAY. #IAM911  https://t.co/651vgwTvYj",SanMateoPD
emergency,2022-03-27 11:41:34 PDT,1508152263939801090,"Another unregistered/unserialized, loaded firearm was taken off the street last night during a proactive traffic stop by an SMPD Officer.   This AR-15 short barreled rifle contained 38 rounds. The driver was arrested on numerous firearm charges and enhancements.  https://t.co/sGgenzo3hU",SanMateoPD
emergency,2022-03-22 16:59:39 PDT,1506420372484157441,Real Talk San Mateo tomorrow night (3/23/22) at 6pm. Watch via Zoom or Facebook Live  https://t.co/pzR3V34Oik Passcode: 395167  https://t.co/5i6bo3hyJ0,SanMateoPD
emergency,2022-03-21 12:24:53 PDT,1505988837431992328,San Mateo Police Department Digital Forensic Specialist recognized for her support and contributions to the investigative and protective responsibilities of the @SecretService.  https://t.co/w56zolFGcO  https://t.co/kYU9Y9tLBp,SanMateoPD
emergency,2022-03-21 12:14:09 PDT,1505986138577666048,"☕👮🏼‍♂️Coffee with a Cop San Mateo is back! Come out &amp; join us on 3/27/22 at Bridgepointe Starbucks for #coffeewithacop from 9-11a. We've missed being out in the community &amp; are anxious to catch up. If you're free Sunday morning, come on by. No agendas, no judgement, just chit chat.  https://t.co/hi1mZ2KBN8",SanMateoPD
emergency,2022-03-17 12:40:37 PDT,1504543246604648463,"@HurryAdams @kron4news We make arrests, jail time is up to the court system.",SanMateoPD
emergency,2022-03-17 10:08:09 PDT,1504504875421356035, https://t.co/G6VeI0sfFo,SanMateoPD
emergency,2022-03-16 13:24:18 PDT,1504191850743152641,"Join us on March 23rd at 6pm for our next Real Talk San Mateo episode, where we'll update you on our Mental Health Clinician Program. Please click the link below to join the webinar next Weds.:  https://t.co/pzR3V34Oik Passcode: 395167  https://t.co/nRR3zLPqhd  https://t.co/wVRWiB9IfG",SanMateoPD
emergency,2022-03-15 16:02:14 PDT,1503869207779360772,Proactive SMPD Officer Stops Catalytic Converter Theft  https://t.co/gNqbesikiF  https://t.co/ajJi817s4J,SanMateoPD
emergency,2022-03-14 14:20:52 PDT,1503481312832761857,"The San Mateo Police Department Encourages Safe St. Patrick’s Day Celebrations - Don't test your luck by drinking, drugging, and driving.   https://t.co/IwkKjaOfAR  https://t.co/KPfXuXIMw9",SanMateoPD
emergency,2022-03-11 15:45:45 PST,1502430608991002628,Carjacking Suspect At Large  https://t.co/rM6QdVX3ew,SanMateoPD
emergency,2022-03-10 18:19:15 PST,1502106851546054658,"@DavidMPollack We conducted an area search for a suspect in an incident we were investigating earlier. The schools were within the proximity of our perimeter and were therefore placed on ""Secure Campus"" out of an abundance of caution. The incident did not involve any of the schools.",SanMateoPD
emergency,2022-03-08 16:02:10 PST,1501347575319785475,@DiStapley Please contact our Dispatch at (650)522-700 to request a Welfare Check.,SanMateoPD
emergency,2022-03-03 10:41:01 PST,1499454816090673162,"@boodad12 @SMCHealth @RepSpeier @sanmateoco Don't have that answer, but out of respect for the hospital, it was decided we would wear masks.",SanMateoPD
emergency,2022-03-03 09:53:40 PST,1499442900320473097,"@boodad12 @SMCHealth @RepSpeier @sanmateoco Regardless of being outside, the hospital is a healthcare setting.",SanMateoPD
emergency,2022-03-02 12:31:55 PST,1499120338252140545,@uirisme Check your inbox.,SanMateoPD
emergency,2022-03-01 15:13:44 PST,1498798670543667210,Watchful Citizens Help Foil Auto Burglary. Two suspects arrested.  https://t.co/TEscG3WxKx  https://t.co/7m9fZCjoPC,SanMateoPD
emergency,2022-05-13 13:26:51 PDT,1525210988865212417,2/ There is no ongoing threat to the campus or nearby neighborhoods. Units will be clearing shortly.  TOC: 12:20 PM,SJPD_PIO
emergency,2022-05-13 13:26:50 PDT,1525210986919055360,"Units are currently at a weapons call involving a student in possession of a pistol at Yerba Buena High School.   Out of precaution, the school went on lockdown.   Officers identified and detained the juvenile suspect off-campus and recovered a BB gun.  https://t.co/1iWbDb6qfY",SJPD_PIO
emergency,2022-05-13 08:34:56 PDT,1525137526171779074,SJPD Arrest Three Suspects for Death of Three Year Old Child  https://t.co/ZGARcwWog4,SJPD_PIO
emergency,2022-05-11 12:52:50 PDT,1524477651406102528,2/ Success!  https://t.co/2GLXdetT3y,SJPD_PIO
emergency,2022-05-11 12:52:41 PDT,1524477613749653505,Today Officer Rodriguez saw a person trying to help some baby geese cross a busy street.   She used her patrol car to assist with the safe crossing and momma goose and babies were happy to make it across unscathed.   👮🏻🚔🐥  https://t.co/ieQAYn7zna,SJPD_PIO
emergency,2022-05-10 14:41:08 PDT,1524142520204087297,3/Thank you @MayaEsparza3 for partnering with us on this endeavor and for recognizing the commitment to the communities we serve.,SJPD_PIO
emergency,2022-05-10 14:41:08 PDT,1524142519121956865,2/ The teamwork between our two departments and community leaders helped hold landlord's accountable for security and crime related issues within the neighborhood.,SJPD_PIO
emergency,2022-05-10 14:41:07 PDT,1524142515279982592,"This afternoon at San José City Council, Captain Shab and Deputy City Attorney Chang were presented with a commendation by Councilmember Esparza for their efforts to uplift and support the Santee Community.  https://t.co/fICQaodN7u",SJPD_PIO
emergency,2022-05-09 10:55:47 PDT,1523723419396673536,3/ Special thanks to our community leaders and neighborhood organizations who we partnered with this year to ensure a safe Cinco de Mayo holiday.   It was truly a team effort!,SJPD_PIO
emergency,2022-05-09 10:55:47 PDT,1523723418410967040,"2/ Our SJPD Communications Center received and dispatched 4,545 calls for service.   Our Community Service Officers assisted with traffic control, traffic diversions, collected evidence, and helped process crime scenes.",SJPD_PIO
emergency,2022-05-09 10:55:46 PDT,1523723416838164480,1/ During the Cinco de Mayo holiday our proactive police Officers from Patrol and Special Operations:  - Seized 16 illegally possessed firearms from prohibited persons  - Made 32 felony arrests  - Issued 467 Traffic Citations  - Impounded multiple vehicles for sideshow activity  https://t.co/NZFR9MYx0c,SJPD_PIO
emergency,2022-05-05 16:35:14 PDT,1522359296423604224,SJPD Cinco de Mayo Weekend Operations   https://t.co/gD1RSZqyJs,SJPD_PIO
emergency,2022-05-05 14:04:32 PDT,1522321370842943495,SJPD Investigating Traffic Fatality #30  https://t.co/2Npq4QE8CO,SJPD_PIO
emergency,2022-05-05 13:37:37 PDT,1522314597113286656,2/ For 2022:  - 30th Traffic Fatality Incident - 32nd victim - 18th pedestrian death,SJPD_PIO
emergency,2022-05-05 11:32:48 PDT,1522283185836462080,Units are currently at the scene of a traffic fatality/industrial accident.   Loc: 1200 block of Lennon Wy  Preliminary info: Work truck struck a pedestrian/worker. Victim transported to a local hospital where he was pronounced deceased.   TOC: 7:59 AM  https://t.co/Jzfic4BtKZ,SJPD_PIO
emergency,2022-05-04 18:24:55 PDT,1522024507812196352,8/ Suspect will be booked into jail for:  • trespassing on school grounds • delaying arrest • brandishing a knife  • criminal threats   Thank you.,SJPD_PIO
emergency,2022-05-04 16:28:09 PDT,1521995125274017793,👮🏽‍♂️🚔👮🏼👮🏾‍♂️👮‍♂️💙  https://t.co/FPDxLpjbxM,SJPD_PIO
emergency,2022-05-04 16:20:44 PDT,1521993256308854784,"Today, in recognition of Police Memorial Week, we honored our Officers that made the ultimate sacrifice serving our community.   You will never be forgotten. You will always be honored.   Godspeed.  https://t.co/EBxE5RDYbW",SJPD_PIO
emergency,2022-05-04 13:41:47 PDT,1521953254480875520,7/ Suspect in custody.  Outstaring work by all involved.     Thank you to patrol officers for the swift response ensuring no students were in danger.   The suspect will be assessed by mental health professionals.   If criminal charges are appropriate we will provide an update.,SJPD_PIO
emergency,2022-05-04 12:44:05 PDT,1521938736040218627,6/ PIO responding to scene,SJPD_PIO
emergency,2022-05-04 12:36:15 PDT,1521936762582433793,@scannertron123 Please see tweet #4.,SJPD_PIO
emergency,2022-05-04 12:25:25 PDT,1521934039980027908,"5/ Any media helicopter overhead please orbit higher or clear the area, you are interfering with ground ops. We need clear communication with the suspect.",SJPD_PIO
emergency,2022-05-04 11:59:07 PDT,1521927419296321537,4/ We are continuing to keep the suspect engaged in conversation/negotiation working towards a peaceful resolution. Students are not in danger as we have the suspect contained.,SJPD_PIO
emergency,2022-05-04 11:40:17 PDT,1521922678906494978,3/ School is located in the 1000 block of Empire St.,SJPD_PIO
emergency,2022-05-04 11:39:04 PDT,1521922373301153793,2/ Our Mobile Crisis Assessment team is on the way to assist.   Preliminary info is the suspect is armed with a knife.   Follow this thread for updates.,SJPD_PIO
emergency,2022-05-04 11:39:03 PDT,1521922371589861376,Units are currently at a weapons call involving a despondent male on the campus of Empire Gardens Elementary School.   School is sheltering in place.   Officers have the lone subject contained.  TOC 10:53 AM  https://t.co/k5cdUKyTkv,SJPD_PIO
emergency,2022-05-04 09:34:27 PDT,1521891011802316806,"National Night Out: August 2, 2022   https://t.co/ZLfjxzxSJe",SJPD_PIO
emergency,2022-05-04 08:53:13 PDT,1521880634557304833,2/ See the press release for additional information  https://t.co/A198xGeI4b,SJPD_PIO
emergency,2022-05-04 08:34:06 PDT,1521875825963974656,SJPD Arrest of Prolific Thief   https://t.co/SL16ditXIQ,SJPD_PIO
emergency,2022-05-04 08:18:37 PDT,1521871927089926144,@SunnyvaleDPS Is the Explorer in the background the one that made the Kessel run in record time? 🚔✨,SJPD_PIO
emergency,2022-05-04 01:55:06 PDT,1521775415391449089,"2/ Unknown suspect or motive on either shooting.   Two separate incidents, 3 victims total.",SJPD_PIO
emergency,2022-05-04 01:55:06 PDT,1521775413764055040,"Patrol Officers are currently at the scene of two separate shooting incidents.   1. 100 block of Grammercy Pl. One male victim, non-life threatening injury.   TOC 11:35 PM  2. 3200 block of Williamsburg Dr. Two adult male victims, non-life threatening injuries.  TOC 11:13 PM  https://t.co/gMW88K9ZKg",SJPD_PIO
emergency,2022-05-02 20:48:04 PDT,1521335760267350016,Looking sharp 🚔,SJPD_PIO
emergency,2022-05-02 08:04:47 PDT,1521143671760068610,SJPD Investigating Traffic Fatality #29  https://t.co/LqYvWI19ei,SJPD_PIO
emergency,2022-05-01 21:49:57 PDT,1520988943767859202,"2/ Traffic will be impacted while we conduct this investigation, please use alternate routes.  For 2022:  29th fatal collision  31st fatality   Press release forthcoming.",SJPD_PIO
emergency,2022-05-01 21:48:30 PDT,1520988578766942208,Units are currently at the scene of a traffic fatality involving a vehicle and a bicyclist.   Capitol Expwy and McLaughlin Av.   Bicyclist pronounced deceased at the scene. Driver cooperating with the investigation.   TOC 9:12 PM  https://t.co/nttyXTljte,SJPD_PIO
emergency,2022-05-01 21:42:54 PDT,1520987168423899138,@HoopMissy Glad you’re ok and thank you for the kind words.,SJPD_PIO
emergency,2022-05-01 14:23:02 PDT,1520876472847589376,2/ Minor to moderate injuries on parties. Suspect under arrest for a prior hit and run collision that occurred minutes before causing this multi vehicle crash.   He will be booked for hit-and-run after being treated at a local hospital for a minor injury.,SJPD_PIO
emergency,2022-05-01 14:13:42 PDT,1520874125568315393,Units are at the scene of a multi vehicle traffic collision in the area of Capitol Expwy and Aborn Rd.   Follow this thread for injury updates. One person has been arrested.   TOC: 1:30 PM  https://t.co/iSGsxDteaD,SJPD_PIO
emergency,2022-05-01 09:01:52 PDT,1520795649851023361,"Each illegally possessed firearm removed from San José streets represents a potential violent crime from occurring.  They are used in robberies, car jackings, assaults, and homicides. Relentless work by Patrol Officers reduces violent crime.   Thank you VCET! 🚔🚔",SJPD_PIO
emergency,2022-05-13 09:57:09 PDT,1525158217357045761,National Police Week  https://t.co/ZxOT1kEtmN via @Nextdoor  https://t.co/N94FTFnfT0,RentonpdWA
